Author,Affiliation,Article Title
Yingmu Cai,"Joint Laboratory of Shantou University Medical College and Guangdong Hybribio Biotech Ltd., Shantou University Medical College, Shantou, Guangdong, China. yingmucai@hybribio.cn.","Prevalence, trends, and geographic distribution of human papillomavirus infection in Chinese women: a summative analysis of 2,728,321 cases."
Xuanxuan Zhang,"State Key Laboratory of Drug Regulatory Science, Evaluation of Biological Products, Key Laboratory of Research on Quality and Standardization of Biotech Products, Institute of Biological Products, National Institutes for Food and Drug Control, Beijing, People's Republic of China.",Exploring the standardization of human nasal antibody measurements.
Yulong Fu,"School of Life Science and Biopharmaceutics, Shenyang Pharmaceutical University, Shenyang, People's Republic of China.",Exploring the standardization of human nasal antibody measurements.
Guanxing Liu,"Changchun Institute of Biological Products Co., Ltd., Changchun, People's Republic of China.",Exploring the standardization of human nasal antibody measurements.
Ying Wang,"State Key Laboratory of Drug Regulatory Science, Evaluation of Biological Products, Key Laboratory of Research on Quality and Standardization of Biotech Products, Institute of Biological Products, National Institutes for Food and Drug Control, Beijing, People's Republic of China.",Exploring the standardization of human nasal antibody measurements.
Qian He,"State Key Laboratory of Drug Regulatory Science, Evaluation of Biological Products, Key Laboratory of Research on Quality and Standardization of Biotech Products, Institute of Biological Products, National Institutes for Food and Drug Control, Beijing, People's Republic of China.",Exploring the standardization of human nasal antibody measurements.
Na Li,"Beijing Minhai Biotechnology Co., Ltd., Beijing, People's Republic of China.",Exploring the standardization of human nasal antibody measurements.
Junzhi Wang,"State Key Laboratory of Drug Regulatory Science, Evaluation of Biological Products, Key Laboratory of Research on Quality and Standardization of Biotech Products, Institute of Biological Products, National Institutes for Food and Drug Control, Beijing, People's Republic of China.",Exploring the standardization of human nasal antibody measurements.
Zhenglun Liang,"State Key Laboratory of Drug Regulatory Science, Evaluation of Biological Products, Key Laboratory of Research on Quality and Standardization of Biotech Products, Institute of Biological Products, National Institutes for Food and Drug Control, Beijing, People's Republic of China.",Exploring the standardization of human nasal antibody measurements.
Miao Xu,"State Key Laboratory of Drug Regulatory Science, Evaluation of Biological Products, Key Laboratory of Research on Quality and Standardization of Biotech Products, Institute of Biological Products, National Institutes for Food and Drug Control, Beijing, People's Republic of China.",Exploring the standardization of human nasal antibody measurements.
Qunying Mao,"State Key Laboratory of Drug Regulatory Science, Evaluation of Biological Products, Key Laboratory of Research on Quality and Standardization of Biotech Products, Institute of Biological Products, National Institutes for Food and Drug Control, Beijing, People's Republic of China.",Exploring the standardization of human nasal antibody measurements.
Bin Wang,"Department of Research & Development, Yither Biotech Co Ltd, Shanghai, China.",Lyophilized monkeypox mRNA lipid nanoparticle vaccines with long-term stability and robust immune responses in mice.
Quanyi Yin,"Department of Research & Development, Yither Biotech Co Ltd, Shanghai, China.",Lyophilized monkeypox mRNA lipid nanoparticle vaccines with long-term stability and robust immune responses in mice.
Li Yi,"Department of Research & Development, Yither Biotech Co Ltd, Shanghai, China.",Lyophilized monkeypox mRNA lipid nanoparticle vaccines with long-term stability and robust immune responses in mice.
Caixia Su,"Department of Research & Development, Yither Biotech Co Ltd, Shanghai, China.",Lyophilized monkeypox mRNA lipid nanoparticle vaccines with long-term stability and robust immune responses in mice.
Yang Wen,"Department of Research & Development, Yither Biotech Co Ltd, Shanghai, China.",Lyophilized monkeypox mRNA lipid nanoparticle vaccines with long-term stability and robust immune responses in mice.
Man Qiao,"Department of Research & Development, Yither Biotech Co Ltd, Shanghai, China.",Lyophilized monkeypox mRNA lipid nanoparticle vaccines with long-term stability and robust immune responses in mice.
Yingchen Ju,"Department of Research & Development, Yither Biotech Co Ltd, Shanghai, China.",Lyophilized monkeypox mRNA lipid nanoparticle vaccines with long-term stability and robust immune responses in mice.
Zhihua Liu,"Department of Research & Development, Yither Biotech Co Ltd, Shanghai, China.",Lyophilized monkeypox mRNA lipid nanoparticle vaccines with long-term stability and robust immune responses in mice.
Yelin Xiong,"Department of Research & Development, Yither Biotech Co Ltd, Shanghai, China.",Lyophilized monkeypox mRNA lipid nanoparticle vaccines with long-term stability and robust immune responses in mice.
Zhilei Liu,"Department of Research & Development, Yither Biotech Co Ltd, Shanghai, China.",Lyophilized monkeypox mRNA lipid nanoparticle vaccines with long-term stability and robust immune responses in mice.
Juan Liu,"Nucleic Acid Medicine Innovation Center, Zhejiang Haichang Biotech Co., Ltd., Hangzhou, Zhejiang 310020, China. Electronic address: liuj@zhejianghaichang.com.",Nonclinical safety and biodistribution evaluation of HC009 mRNA vaccine against COVID-19 in rat.
Xicheng Chen,"Nucleic Acid Medicine Innovation Center, Zhejiang Haichang Biotech Co., Ltd., Hangzhou, Zhejiang 310020, China.",Nonclinical safety and biodistribution evaluation of HC009 mRNA vaccine against COVID-19 in rat.
Chuanqian Chen,"Nucleic Acid Medicine Innovation Center, Zhejiang Haichang Biotech Co., Ltd., Hangzhou, Zhejiang 310020, China.",Nonclinical safety and biodistribution evaluation of HC009 mRNA vaccine against COVID-19 in rat.
Jie Wu,"Nucleic Acid Medicine Innovation Center, Zhejiang Haichang Biotech Co., Ltd., Hangzhou, Zhejiang 310020, China.",Nonclinical safety and biodistribution evaluation of HC009 mRNA vaccine against COVID-19 in rat.
Fengyang Xie,"Nucleic Acid Medicine Innovation Center, Zhejiang Haichang Biotech Co., Ltd., Hangzhou, Zhejiang 310020, China.",Nonclinical safety and biodistribution evaluation of HC009 mRNA vaccine against COVID-19 in rat.
Jing Li,"Nucleic Acid Medicine Innovation Center, Zhejiang Haichang Biotech Co., Ltd., Hangzhou, Zhejiang 310020, China.",Nonclinical safety and biodistribution evaluation of HC009 mRNA vaccine against COVID-19 in rat.
Huafeng Han,"Nucleic Acid Medicine Innovation Center, Zhejiang Haichang Biotech Co., Ltd., Hangzhou, Zhejiang 310020, China.",Nonclinical safety and biodistribution evaluation of HC009 mRNA vaccine against COVID-19 in rat.
Yingying Zhao,"Nucleic Acid Medicine Innovation Center, Zhejiang Haichang Biotech Co., Ltd., Hangzhou, Zhejiang 310020, China.",Nonclinical safety and biodistribution evaluation of HC009 mRNA vaccine against COVID-19 in rat.
Yongsheng Yang,"Nucleic Acid Medicine Innovation Center, Zhejiang Haichang Biotech Co., Ltd., Hangzhou, Zhejiang 310020, China. Electronic address: yongsheng.yang@thewogroup.com.",Nonclinical safety and biodistribution evaluation of HC009 mRNA vaccine against COVID-19 in rat.
Yabin Tian,"Key Laboratory of the Ministry of Health for Research on Quality and Standardization of Biotech Products, Division of HIV/AIDS and Sexually Transmitted Virus Vaccines, National Institutes for Food and Drug Control, No. 2 Tiantanxili, Beijing 100050, China.","Corrigendum to ""Systematic identification of HEV ORF2 interactome reveals that TMEM134 engages in ORF2-mediated NF-κB pathway"" [Virus Research 228 (2017) 102-108]."
Weijin Huang,"Key Laboratory of the Ministry of Health for Research on Quality and Standardization of Biotech Products, Division of HIV/AIDS and Sexually Transmitted Virus Vaccines, National Institutes for Food and Drug Control, No. 2 Tiantanxili, Beijing 100050, China.","Corrigendum to ""Systematic identification of HEV ORF2 interactome reveals that TMEM134 engages in ORF2-mediated NF-κB pathway"" [Virus Research 228 (2017) 102-108]."
Zhiheng Wen,"Key Laboratory of the Ministry of Health for Research on Quality and Standardization of Biotech Products, Division of HIV/AIDS and Sexually Transmitted Virus Vaccines, National Institutes for Food and Drug Control, No. 2 Tiantanxili, Beijing 100050, China.","Corrigendum to ""Systematic identification of HEV ORF2 interactome reveals that TMEM134 engages in ORF2-mediated NF-κB pathway"" [Virus Research 228 (2017) 102-108]."
Chenyan Zhao,"Key Laboratory of the Ministry of Health for Research on Quality and Standardization of Biotech Products, Division of HIV/AIDS and Sexually Transmitted Virus Vaccines, National Institutes for Food and Drug Control, No. 2 Tiantanxili, Beijing 100050, China.","Corrigendum to ""Systematic identification of HEV ORF2 interactome reveals that TMEM134 engages in ORF2-mediated NF-κB pathway"" [Virus Research 228 (2017) 102-108]."
Youchun Wang,"Key Laboratory of the Ministry of Health for Research on Quality and Standardization of Biotech Products, Division of HIV/AIDS and Sexually Transmitted Virus Vaccines, National Institutes for Food and Drug Control, No. 2 Tiantanxili, Beijing 100050, China. Electronic address: wangyc@nifdc.org.cn.","Corrigendum to ""Systematic identification of HEV ORF2 interactome reveals that TMEM134 engages in ORF2-mediated NF-κB pathway"" [Virus Research 228 (2017) 102-108]."
M S von Elling-Tammen,"Research Group Medical Biotechnology & Bioengineering, Faculty of Applied Natural Sciences, TH Köln - University of Applied Sciences, Campusplatz 1, 51379 Leverkusen, Germany; Sartorius Stedim Biotech GmbH, August-Spindler-Straße 11, 37079 Göttingen, Germany.",Optimizing nuclease treatment to enhance anion exchange chromatography of HIV-derived virus-like particles.
F Taft,"Sartorius Stedim Biotech GmbH, August-Spindler-Straße 11, 37079 Göttingen, Germany.",Optimizing nuclease treatment to enhance anion exchange chromatography of HIV-derived virus-like particles.
V Thom,"Sartorius Stedim Biotech GmbH, August-Spindler-Straße 11, 37079 Göttingen, Germany.",Optimizing nuclease treatment to enhance anion exchange chromatography of HIV-derived virus-like particles.
J Stitz,"Research Group Medical Biotechnology & Bioengineering, Faculty of Applied Natural Sciences, TH Köln - University of Applied Sciences, Campusplatz 1, 51379 Leverkusen, Germany.",Optimizing nuclease treatment to enhance anion exchange chromatography of HIV-derived virus-like particles.
S Barbe,"Research Group Medical Biotechnology & Bioengineering, Faculty of Applied Natural Sciences, TH Köln - University of Applied Sciences, Campusplatz 1, 51379 Leverkusen, Germany. Electronic address: stephan.barbe@th-koeln.de.",Optimizing nuclease treatment to enhance anion exchange chromatography of HIV-derived virus-like particles.
A Krause,"Sartorius Stedim Biotech GmbH, August-Spindler-Straße 11, 37079 Göttingen, Germany.",Optimizing nuclease treatment to enhance anion exchange chromatography of HIV-derived virus-like particles.
Ruizhi Wang,"Qingdao Vland Biotech INC., Qingdao, 266102, China.",Immunogenic cross-reactivity between different serotypes novel duck reoviruses: Evaluation of cross-protection provided by mono or bivalent vaccine.
Sijia Liu,"Qingdao Vland Biotech INC., Qingdao, 266102, China.",Immunogenic cross-reactivity between different serotypes novel duck reoviruses: Evaluation of cross-protection provided by mono or bivalent vaccine.
Zhe Lv,"Sinovac Biotech Ltd., Beijing, China.",CVA16 infection causes neurological injury by engaging TLR2/MYD88/TNF-α/CXCL1 signalling pathway in hSCARB2 knock-in mice.
Fu-Ying Shih,"Ph.D. Program for Biotech Pharmaceutical Industry, China Medical University, Taichung, Taiwan, ROC.",Hypoxic tumor cell line lysate-pulsed dendritic cell vaccine exhibits better therapeutic effects on hepatocellular carcinoma.
Fangyuan Zheng,"R&D Department, Vazyme Biotech Co., Ltd, Nanjing, China.",Constructions and immunogenicity evaluations of two porcine epdemic diarrhea virus-like particle vaccines.
Peifen Gao,"National Vaccine & Serum Institute, China National Biotech Group, Sinopharm Group, Beijing 101111, China.",Extracellular vesicles and bioactive peptides for regenerative medicine in cosmetology.
Yinan Wang,"National Vaccine & Serum Institute, China National Biotech Group, Sinopharm Group, Beijing 101111, China.",Extracellular vesicles and bioactive peptides for regenerative medicine in cosmetology.
Wenlin An,"National Vaccine & Serum Institute, China National Biotech Group, Sinopharm Group, Beijing 101111, China. Electronic address: anwenlin@sinopharm.com.",Extracellular vesicles and bioactive peptides for regenerative medicine in cosmetology.
Thorkell Gudjónsson,"Biotech Research and Innovation Centre (BRIC), Faculty of Health Sciences, University of Copenhagen, Copenhagen, Denmark.","Replication stress, microcephalic primordial dwarfism, and compromised immunity in ATRIP deficient patients."
Peiquan Huang,"Biotech Research and Innovation Centre (BRIC), Faculty of Health Sciences, University of Copenhagen, Copenhagen, Denmark.","Replication stress, microcephalic primordial dwarfism, and compromised immunity in ATRIP deficient patients."
Claus S Sørensen,"Biotech Research and Innovation Centre (BRIC), Faculty of Health Sciences, University of Copenhagen, Copenhagen, Denmark.","Replication stress, microcephalic primordial dwarfism, and compromised immunity in ATRIP deficient patients."
Ernesto T A Marques,"Department of Infectious Diseases and Microbiology, School of Public Health, University of Pittsburgh, Pittsburgh, PA, USA; Department of Virology and Experimental Therapeutics, Oswaldo Cruz Foundation (Fiocruz), Recife, Brazil.",Zika virus: advancing a priority research agenda for preparedness and response.
Josephine P Golding,"Infectious Disease Strategic Programme, Wellcome Trust, London, UK.",Zika virus: advancing a priority research agenda for preparedness and response.
Petra C Fay,"Infectious Disease Strategic Programme, Wellcome Trust, London, UK.",Zika virus: advancing a priority research agenda for preparedness and response.
Ana Cehovin,"Infectious Disease Strategic Programme, Wellcome Trust, London, UK.",Zika virus: advancing a priority research agenda for preparedness and response.
Ana Cehovin,"Infectious Disease Strategic Programme, Wellcome Trust, London, UK.",Zika virus vaccines and monoclonal antibodies: a priority agenda for research and development.
Petra C Fay,"Infectious Disease Strategic Programme, Wellcome Trust, London, UK.",Zika virus vaccines and monoclonal antibodies: a priority agenda for research and development.
Josephine P Golding,"Infectious Disease Strategic Programme, Wellcome Trust, London, UK.",Zika virus vaccines and monoclonal antibodies: a priority agenda for research and development.
Steven Thomas,"Biometrics, BioPharmaceuticals Research & Development, AstraZeneca, Gaithersburg, MD, USA; Vaccines & Immune Therapies, BioPharmaceuticals Research & Development, AstraZeneca, Gaithersburg, MD, USA; Chiesi USA, Cary, NC, USA.","Efficacy and safety of sipavibart for prevention of COVID-19 in individuals who are immunocompromised (SUPERNOVA): a randomised, controlled, double-blind, phase 3 trial."
Anastasia A Aksyuk,"Vaccines & Immune Therapies, BioPharmaceuticals Research & Development, AstraZeneca, Gaithersburg, MD, USA.","Efficacy and safety of sipavibart for prevention of COVID-19 in individuals who are immunocompromised (SUPERNOVA): a randomised, controlled, double-blind, phase 3 trial."
Lindsay E Clegg,"Clinical Pharmacology & Quantitative Pharmacology, Clinical Pharmacology & Safety Sciences, BioPharmaceuticals Research & Development, AstraZeneca, Gaithersburg, MD, USA.","Efficacy and safety of sipavibart for prevention of COVID-19 in individuals who are immunocompromised (SUPERNOVA): a randomised, controlled, double-blind, phase 3 trial."
Alexander Currie,"Vaccines & Immune Therapies, BioPharmaceuticals Research & Development, AstraZeneca, Cambridge, UK.","Efficacy and safety of sipavibart for prevention of COVID-19 in individuals who are immunocompromised (SUPERNOVA): a randomised, controlled, double-blind, phase 3 trial."
Haitao Yang,"Clinical Pharmacology & Quantitative Pharmacology, Clinical Pharmacology & Safety Sciences, BioPharmaceuticals Research & Development, AstraZeneca, Gaithersburg, MD, USA.","Efficacy and safety of sipavibart for prevention of COVID-19 in individuals who are immunocompromised (SUPERNOVA): a randomised, controlled, double-blind, phase 3 trial."
Karin Flyrin,"Vaccines & Immune Therapies, BioPharmaceuticals Research & Development, AstraZeneca, Mölndal, Sweden.","Efficacy and safety of sipavibart for prevention of COVID-19 in individuals who are immunocompromised (SUPERNOVA): a randomised, controlled, double-blind, phase 3 trial."
Michael Gibbs,"Vaccines & Immune Therapies, BioPharmaceuticals Research & Development, AstraZeneca, Cambridge, UK.","Efficacy and safety of sipavibart for prevention of COVID-19 in individuals who are immunocompromised (SUPERNOVA): a randomised, controlled, double-blind, phase 3 trial."
John L Perez,"Vaccines & Immune Therapies, BioPharmaceuticals Research & Development, AstraZeneca, Gaithersburg, MD, USA.","Efficacy and safety of sipavibart for prevention of COVID-19 in individuals who are immunocompromised (SUPERNOVA): a randomised, controlled, double-blind, phase 3 trial."
Lee-Jah Chang,"Vaccines & Immune Therapies, BioPharmaceuticals Research & Development, AstraZeneca, Gaithersburg, MD, USA.","Efficacy and safety of sipavibart for prevention of COVID-19 in individuals who are immunocompromised (SUPERNOVA): a randomised, controlled, double-blind, phase 3 trial."
